timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1636807708275,-0.28344727,-0.45562744,-0.049621582,7.296875,41.5,-0.625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708318,0.21948242,0.23504639,-0.380188,-16.296875,15.734375,-4.265625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708348,0.4650879,0.26898193,-0.02520752,-10.21875,-27.390625,2.96875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708399,0.13696289,-0.0171508789999999,-0.21490479,5.3125,-58.28125,-6.5625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708425,0.3918457,-1.2481079,0.1618042,13.71875,-49.859375,-50.375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708468,0.78930664,-2.0,-0.19903564,20.5625,-42.640625,2.90625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708517,0.16894531,-1.8555298,-0.08502197,0.90625,-14.8125,-26.5,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708553,-0.21826172,-1.569397,0.24969482,17.8125,-14.015625,9.140625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708593,0.12866211,-1.5447388000000002,0.14642334,0.296875,-10.375,-25.6875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708635,0.09057617,-0.15924072,0.10882568,-5.796875,-3.140625,-14.765625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708666,-0.14111328,0.35394287,-0.113098145,8.890625,6.546875,-1.3125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708708,0.0031738281,0.1708374,-0.08062744,-10.125,19.5,-11.234375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708755,-0.087890625,-0.06866455,0.08709717,7.75,15.5,1.265625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708783,0.015625,-0.8015747,-0.7559204,14.359375,-31.171875,23.96875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708830,0.8100586,-2.0,0.137146,-12.03125,34.40625,15.796875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708875,-0.28100586,-0.60943604,0.11419678,55.78125,26.609375,9.5625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708907,-0.4892578,-2.0,0.3439331,-53.890625,27.59375,-0.34375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708948,0.77001953,-1.5125122,-0.15679932,-33.890625,25.296875,6.03125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807708978,0.07836914,-0.4434204000000001,0.034362793,-15.296875,26.40625,11.859375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709025,-0.068115234,-0.12750244,-0.24005127,-8.234375,41.859375,13.671875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709068,0.4326172,0.41400146,-0.22320557,0.828125,-8.984375,8.0625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709100,0.18383789,0.12762451,0.09564209,-2.046875,-36.6875,10.90625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709149,0.099121094,-0.13604736,-0.39434814,14.265625,-69.953125,-12.59375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709188,0.45947266,-1.5794066999999998,0.6637573,55.375,-38.53125,-67.421875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709219,0.5632324000000001,-2.0,0.25579834,-20.875,-67.46875,15.296875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709264,0.08959961,-1.7312622,-0.56915283,5.15625,-29.65625,-20.3125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709308,-0.37475586,-1.5149536,0.22698975,33.984375,32.03125,9.140625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709338,0.36547852,-1.1607056,0.15032959,-27.390625,4.046875,-37.546875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709387,-0.0017089844,0.13275146,0.11077881,4.546875,21.453125,5.984375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709429,-0.26757812,0.38885498,-0.15338135,-4.28125,9.234375,-9.125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709458,0.11401367,0.22088623,-0.14141846,-21.625,20.875,-3.390625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709508,-0.11816406,-0.16021729,-0.089416504,20.5,2.65625,13.796875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709534,0.13793945,-1.7063598999999998,-0.45733643,-23.5625,-51.171875,12.484375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709582,0.21728516,-2.0,0.030456543,62.0,42.546875,56.03125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709629,-0.21069336,-1.4751587,-0.598938,3.421875,-25.765625,-6.59375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709654,0.027832031,-2.0,0.5194702,45.328125,59.15625,31.390625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709701,0.6464844,-0.7505493000000001,-0.29034424,-80.296875,1.703125,21.78125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709749,-0.3317870999999999,-0.71051025,0.14422607,3.359375,45.203125,22.609375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709775,0.06713867,0.0036010742,-0.34429932,-29.875,4.46875,-6.015625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709818,0.47070312,0.31610107,-0.13995361,-0.546875,-0.125,9.375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709868,0.037353516,0.10003662,0.04168701,-13.640625,-42.890625,3.65625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709893,0.33374023,-0.7715454,-0.07183838,9.765625,-64.75,-35.0625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709938,0.77783203,-2.0,-0.10992432,74.90625,-41.21875,-5.28125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807709969,-0.13012695,-2.0,0.2177124,-11.9375,-9.40625,-15.140625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710014,-0.033935547,-1.6636353,-0.05206299,8.40625,-35.328125,3.890625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710058,-0.021240234,-1.7698363999999998,0.08001709,31.34375,7.1875,-9.53125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710089,0.34692383,-0.62701416,0.12689209,-18.265625,7.0,-26.3125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710133,-0.09765625,0.12249756,-0.013977051,-8.609375,5.78125,-1.34375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710178,-0.21533203,0.32904053,-0.20733643,-2.390625,13.21875,-7.0,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710208,-0.044433594,0.06414795,-0.009338379,-1.328125,10.953125,-3.859375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710253,-0.23999023,-0.11016846,-0.4451294,41.953125,-5.25,12.109375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710299,0.8508300999999999,-2.0,-0.057922363,-58.0,-23.28125,4.921875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710333,0.1862793,-1.9160767,0.117370605,-0.125,32.0625,59.015625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710374,-0.091308594,-1.6470337,-0.34259033,-25.71875,-26.328125,-13.921875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710419,0.42260742,-2.0,0.06097412,-8.625,72.09375,26.53125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710450,0.44921875,-0.31085205,-0.093811035,-50.46875,11.578125,15.1875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710499,-0.29858398,-0.25299072,-0.0725708,-7.25,40.953125,21.5625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710532,0.26000977,0.24554443,-0.33721924,-8.5625,-4.046875,-2.375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710570,0.27807617,0.2501831,0.058532715,-13.265625,-32.796875,-2.234375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710616,-0.21411133,0.06829834,0.016540527,6.28125,-36.5,-3.8125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710650,0.60131836,-1.0535278,0.007751465,15.5,-69.03125,-48.953125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710688,0.5253906,-2.0,-0.45318604,50.859375,-50.90625,35.671875,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710733,0.040283203,-1.8274536,-0.30548096,-25.515625,-21.34375,-32.953125,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710766,-0.35131836,-1.5681763000000002,0.27825928,-0.03125,5.15625,20.59375,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
1636807710809,0.091796875,-1.5842896,0.19744873,8.9375,-27.390625,-36.625,Respeck,Running,11,s1234567,,Respeck_s1234567_Running_13-11-2021_12-48-41
